"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0.00784313725490196,0,0,0,0,0,0.00784313725490196,0,0.00784313725490196,0.0117647058823529,0,0.00784313725490196,1,1,1,1,0,0,0,0,1,1,0,0,0.00392156862745098,0.996078431372549,1,0.00392156862745098,0,1,0,0,0,0,0.00784313725490196,0.00392156862745098,1,0.992156862745098,0.0156862745098039,0.992156862745098,0,0,0.0156862745098039,0.00392156862745098,0,0,0,1,0,1,0,1,0,0.00392156862745098,0,0.0117647058823529,0,1,0.992156862745098,1,0.992156862745098,1,0,0,0.0156862745098039,0,0,0,1,0,1,0.992156862745098,0,0,0,0,0,0,1,0.00784313725490196,0,0.0117647058823529,0.996078431372549,1,0.996078431372549,1,0,1,1,0,0.0235294117647059,0,0.0117647058823529,0,0.00392156862745098,0,1,0,0
0,0.00784313725490196,0,0.00392156862745098,0,0.00784313725490196,0.00784313725490196,0,0,0,0.00784313725490196,0.0156862745098039,0.996078431372549,1,1,0.988235294117647,0.992156862745098,1,0,0.00392156862745098,0.996078431372549,0.984313725490196,0,0,0.00392156862745098,0,0.00784313725490196,0.992156862745098,1,0,1,0,0.00784313725490196,0,0.00392156862745098,0.00392156862745098,0,0,1,0,0.996078431372549,0.0117647058823529,0.00392156862745098,0,0,0,0,0.00784313725490196,0.996078431372549,0.0156862745098039,1,0.00392156862745098,0,0.00784313725490196,0.00392156862745098,0.00784313725490196,0.00392156862745098,0,1,0,1,0.984313725490196,0.00784313725490196,0.00392156862745098,0,0.00784313725490196,0,0,1,0,1,1,0.992156862745098,0.00784313725490196,0,0,0.00392156862745098,0,1,0.00392156862745098,1,1,1,1,0.00392156862745098,0.00392156862745098,0,1,1,0.00392156862745098,0,0.00784313725490196,0.00392156862745098,1,1,0.992156862745098,0.996078431372549,1,0.00392156862745098,0.00392156862745098
0,0,0,0.00392156862745098,0,0.00392156862745098,0,0.00784313725490196,0,0,0,0.0235294117647059,0.984313725490196,1,1,1,1,0,0.00784313725490196,0,0,1,1,0,0,0,0.00392156862745098,0.996078431372549,0,0.00784313725490196,0,0.988235294117647,0.00784313725490196,0,0.0156862745098039,0,0.0117647058823529,1,1,0,1,1,0,0,0.00392156862745098,0.00784313725490196,0,0,1,0,1,0.992156862745098,0.00784313725490196,0.0117647058823529,0.00392156862745098,0,0,0,1,0.00784313725490196,0.996078431372549,0.996078431372549,0.00392156862745098,0,0,0.00784313725490196,0,0,0.988235294117647,0.00392156862745098,1,1,0.00392156862745098,0,0.0156862745098039,0,0.00784313725490196,0.992156862745098,1,0,0,1,0.996078431372549,1,1,0.996078431372549,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00392156862745098,0,0.00784313725490196,0,0,0,0.00392156862745098,0.00392156862745098,0,0.0156862745098039,0,0.00392156862745098,0,0.00392156862745098,0,0,0.00784313725490196,0,0.00784313725490196,0.992156862745098,0.992156862745098,1,1,1,1,0.00392156862745098,0,0,1,1,0,0.00784313725490196,0,0.00392156862745098,0.992156862745098,0.992156862745098,0.00392156862745098,1,0.988235294117647,0,0.00392156862745098,0,0,0.00392156862745098,0.00392156862745098,1,0.00392156862745098,1,1,0.00784313725490196,0,0.00784313725490196,0,0,0,1,0.996078431372549,1,0.996078431372549,0,0,0.00392156862745098,0,0.00784313725490196,0,0.00392156862745098,0.992156862745098,0,1,1,0.00392156862745098,0,0.0196078431372549,0,0.00392156862745098,0.996078431372549,1,0.00784313725490196,0,1,0.996078431372549,0,0.00392156862745098,0,1,1,0.00392156862745098,0,0.00392156862745098,0,0,1,0.988235294117647,1,0,0.00392156862745098,0.00392156862745098
0,0.0156862745098039,0,0.00784313725490196,0,0.00392156862745098,0.00784313725490196,0,0,0,0.0117647058823529,0,0,0,1,0.996078431372549,0.980392156862745,0.0156862745098039,0,0,0,0.0156862745098039,0.996078431372549,1,0.996078431372549,0,1,0.992156862745098,0,0,0.00784313725490196,1,1,0,0,0.00784313725490196,0,1,0,0,0,0.996078431372549,0.0156862745098039,0,0.00784313725490196,0,0,1,0,0,0.00392156862745098,1,0.00784313725490196,0.0117647058823529,0,0,0.00392156862745098,0.996078431372549,0,0,0,1,0.992156862745098,0,0.00784313725490196,0,1,0.988235294117647,0,0,0,0.996078431372549,1,0,0,1,0.988235294117647,0.0117647058823529,0,0,0,0.00392156862745098,0.996078431372549,1,0.996078431372549,0.00392156862745098,0,0,0,0,0.0117647058823529,0,0.0156862745098039,0,0,0.00392156862745098,0,0,0,0
0.00392156862745098,0,0.00784313725490196,0,0,0.00392156862745098,0,0,0.00392156862745098,0,0,0,0,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,0,0,0.00784313725490196,0,0.00392156862745098,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,0,0.0117647058823529,0,0,0,0,0,0.0117647058823529,0.984313725490196,1,0.992156862745098,1,1,0,0,0.00784313725490196,0.988235294117647,1,1,0,0,0.00392156862745098,1,0,1,1,0.992156862745098,0.0117647058823529,0,0,0.0156862745098039,0.992156862745098,1,0,1,0.996078431372549,0.0117647058823529,0,0.0117647058823529,0,0,1,0,0.00392156862745098,0.992156862745098,0.0117647058823529,0,0,0,1,1,0,0.00392156862745098,0,1,1,1,0.988235294117647,1,0,0,0,0,0,0,0,0.00392156862745098,0.0156862745098039,0,0.00784313725490196,0,0.00392156862745098,0,0
0.00392156862745098,0,0,0,0.00784313725490196,0,0,0,0,0,0,0.00784313725490196,0,0,0,0,0.00784313725490196,0,0,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,1,0.996078431372549,0.996078431372549,1,0.996078431372549,1,0,0,1,1,0.00392156862745098,0,0.0117647058823529,0,0.00392156862745098,1,0,0,1,0,0.00392156862745098,0,0,0.0196078431372549,0,0.996078431372549,0.0156862745098039,1,1,0,0,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.00784313725490196,1,0,0.984313725490196,1,0,0,0.0117647058823529,0,0,0,1,0,1,0.984313725490196,1,0,0,0.00392156862745098,1,1,1,0.00392156862745098,0.00392156862745098,0.00392156862745098,0,1,1,1,1,0,0,0,0,0.00784313725490196,0,0.00784313725490196,0,0,0,0.00392156862745098,0,0
0,0,0,0.00392156862745098,0,0.00392156862745098,0,0,0,0,0.00392156862745098,0.0117647058823529,0,0,0.00784313725490196,0.00392156862745098,0,0,0.00784313725490196,0,0,0.00392156862745098,0,0,0,1,1,0,0,0.00784313725490196,0,0,0.0156862745098039,1,1,0.996078431372549,1,1,1,0,0.00784313725490196,0,1,0,0,0,0,0.00392156862745098,1,0,0,1,0,0,0.0117647058823529,0,0,0.00392156862745098,1,0.00784313725490196,0,1,0,0,0,0,0.0117647058823529,0,0.988235294117647,0.00392156862745098,0.00392156862745098,1,0.00392156862745098,0,0.00392156862745098,0,0.00392156862745098,0,1,0,0.00392156862745098,0,1,0.996078431372549,1,0,0.996078431372549,1,1,0.00392156862745098,0,0.00392156862745098,0,0.00392156862745098,0.00784313725490196,1,0.996078431372549,0,0.00392156862745098,0.00392156862745098
0,0,0.00392156862745098,0.00392156862745098,0,0.00784313725490196,0,0.00392156862745098,0.00392156862745098,0,0.00784313725490196,0,0,0.00392156862745098,0,1,0.992156862745098,1,0,0.00392156862745098,0,0,0,0.988235294117647,1,0,0.00784313725490196,0,0.996078431372549,1,0.0117647058823529,0,1,0,0,0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0.980392156862745,0,1,1,0,0.0156862745098039,0,0.00784313725490196,0,0,1,1,1,0,0,0.00784313725490196,0,0.0235294117647059,0,0.984313725490196,1,1,0.992156862745098,0,0.0117647058823529,0,0,0,0.00392156862745098,1,0,0.996078431372549,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,0.0156862745098039,0,0.00784313725490196,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00392156862745098,0,0.00784313725490196,0,0,0,0.00392156862745098,0,0,0.0117647058823529,0,0,1,0.996078431372549,1,0,0.00392156862745098,0,0,0,1,1,0.0117647058823529,0,0.996078431372549,0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0.992156862745098,0.00784313725490196,0,0,0,0.996078431372549,0,0,0.00392156862745098,0.992156862745098,0.00784313725490196,0,0,0,0.0196078431372549,1,1,0.00392156862745098,1,0.992156862745098,0,0,0.00392156862745098,0,0,0.00392156862745098,1,0.00784313725490196,1,1,0,0.00392156862745098,0.00784313725490196,0.00392156862745098,0,0.00392156862745098,1,0,0,1,1,0.988235294117647,0.00392156862745098,0,1,0.992156862745098,1,0,0.00392156862745098,0.00392156862745098,0,1,1,1,1,0,0,0,0,0.00784313725490196,0,0.00784313725490196,0,0,0,0.00392156862745098,0,0
0.00392156862745098,0,0,0,0,0,0.0117647058823529,0,0.00784313725490196,0,0,0,0.00392156862745098,0,0.00784313725490196,0.00784313725490196,0.992156862745098,0.00392156862745098,0,0.00392156862745098,0,0,0.00784313725490196,1,0.996078431372549,0.996078431372549,0.00392156862745098,1,1,0,0.00784313725490196,0.00784313725490196,1,0,0.0117647058823529,0,0.0117647058823529,0,1,0.992156862745098,0.00392156862745098,0.988235294117647,1,0.00392156862745098,0,0,0.00392156862745098,0.00392156862745098,1,0,0.992156862745098,1,0.996078431372549,0.00392156862745098,0,0.0117647058823529,0,0.00392156862745098,0.996078431372549,0.00392156862745098,1,0.0117647058823529,1,0,0.00392156862745098,0,0.0117647058823529,0.988235294117647,1,0,0,0.984313725490196,1,0,0,0.00392156862745098,0.992156862745098,1,0,0.00784313725490196,0,0,0.992156862745098,1,1,1,1,0,0,0,0.00784313725490196,0,0.0156862745098039,0,0,0,0,0.00784313725490196,0,0
0,0,0,0.00784313725490196,0,0,0,0,0,0.00392156862745098,0,0,0.00392156862745098,0,0,0.00392156862745098,0.00392156862745098,0.00392156862745098,0,0,0,0,0.00392156862745098,1,1,1,1,0.992156862745098,1,0.00392156862745098,0,0.0156862745098039,0,0.988235294117647,0,0,0.00392156862745098,0.00392156862745098,0.992156862745098,0.00784313725490196,1,0,0.988235294117647,0.0117647058823529,0,0,0,0,1,0.988235294117647,0.00784313725490196,0.992156862745098,1,0,0.0117647058823529,0.00392156862745098,0,0,0.0117647058823529,0.992156862745098,0,1,0,0,0,0.00784313725490196,0,0,0,1,0.00392156862745098,0.996078431372549,0.996078431372549,0.00784313725490196,0,0.0196078431372549,0,0.0117647058823529,0.996078431372549,1,0,0.00784313725490196,0.996078431372549,1,0,0.00784313725490196,0,1,1,0.00392156862745098,0,0,0.00392156862745098,0,0.996078431372549,0.996078431372549,1,0.984313725490196,0.00392156862745098,0.00392156862745098
0,0.0156862745098039,0,0,0,0,0,0,0,0.00392156862745098,0.00392156862745098,0,0.996078431372549,1,1,1,0.992156862745098,1,0,0,0.00392156862745098,0,1,0.00392156862745098,0,0.0117647058823529,0,1,0.00784313725490196,0.00392156862745098,0.00392156862745098,1,1,0,0,0,0.00392156862745098,0,0.996078431372549,0.00784313725490196,0,1,0,0.00784313725490196,0.00392156862745098,0,0.0156862745098039,0,0.996078431372549,1,0,1,1,0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0,0.00784313725490196,0.988235294117647,0.00784313725490196,0.00784313725490196,0.996078431372549,0,0,0.00784313725490196,0,0,0,1,0,0,1,0.00392156862745098,0,0,0.00784313725490196,0,0,1,0,0.00784313725490196,0.996078431372549,1,1,0.00392156862745098,0,0,1,0.996078431372549,0,0,0.00784313725490196,0,0.996078431372549,1,0.988235294117647,1,1,0
0.00392156862745098,0.00392156862745098,0,0.0117647058823529,0,0.00392156862745098,0,0.00784313725490196,0,0,0,0,0,0.00392156862745098,1,0.988235294117647,1,0,0,0,0.00392156862745098,0.00784313725490196,0,0.996078431372549,1,0,1,1,0,0,0,0,1,0,0.0117647058823529,0.00784313725490196,0,0.996078431372549,0,0,0.996078431372549,1,0.996078431372549,0.00392156862745098,0,0,0,1,0,0,1,1,0,0.0156862745098039,0,0,0.0156862745098039,0.992156862745098,0,0,1,0.992156862745098,0.00392156862745098,0,0,0.0235294117647059,0,1,0,0,0.00392156862745098,1,1,1,0.992156862745098,1,0.988235294117647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00784313725490196,0,0.00392156862745098,0.00392156862745098,0,0,0,0,0,0.0156862745098039,0,0,1,0.992156862745098,0.0196078431372549,0,0.00392156862745098,0,0.0156862745098039,0,0.996078431372549,0.996078431372549,1,1,0,0.00784313725490196,0,0,0.00392156862745098,0.996078431372549,1,0,0.00784313725490196,0,1,0,0,0.00392156862745098,0.988235294117647,1,0,0.00392156862745098,0,0,1,0.996078431372549,0,0.992156862745098,1,0,0.00784313725490196,0.00784313725490196,0,0,0.00392156862745098,1,1,0.00392156862745098,0.996078431372549,0.0156862745098039,0,0,0,0.0117647058823529,0,0,0.992156862745098,0.00392156862745098,0.984313725490196,1,0,0.00784313725490196,0,0,0,0.992156862745098,1,0,0,0,1,0.988235294117647,1,1,1,1,0.00392156862745098,0.00392156862745098,0,0.00784313725490196,0,0.0156862745098039,0.00392156862745098,0,0,0.00392156862745098,0.00392156862745098
0,0.00392156862745098,0.00392156862745098,0,0,0,0,0,0,0,0.00784313725490196,0,0.00392156862745098,0,0,0.00784313725490196,0,0,0,0,0.00392156862745098,0,0.0196078431372549,0,0.996078431372549,0.996078431372549,1,0,0,0,0,0,0,1,0.0156862745098039,0,0,1,0,0,0.00392156862745098,0.0117647058823529,0.992156862745098,0,0.00392156862745098,0.00392156862745098,0,1,0,0,0,1,0,0.00392156862745098,0,0,0.0196078431372549,0.992156862745098,0,0,0,1,0,0.00392156862745098,0.00392156862745098,0.0117647058823529,0,1,0,0,0.00784313725490196,0.992156862745098,0.00784313725490196,0,0.00392156862745098,0,0,1,0,0,0,1,0.996078431372549,1,1,0.996078431372549,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0117647058823529,0,0.00784313725490196,0,0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0,0.0117647058823529,0,0,0,1,1,1,0.996078431372549,0.00784313725490196,0,0,0.00392156862745098,0.00392156862745098,1,1,0,0.0117647058823529,1,1,0.00392156862745098,0,0.00392156862745098,0.996078431372549,0.992156862745098,0,0.00392156862745098,0,1,0,0.00784313725490196,0.0156862745098039,0,0.996078431372549,0.0196078431372549,0,0.00784313725490196,0,1,0,0.0117647058823529,0,0.0117647058823529,0.992156862745098,0,0.00784313725490196,0,0.0196078431372549,0.992156862745098,0.00392156862745098,0,0.00784313725490196,0,1,0.00784313725490196,0,0.00784313725490196,0,1,0,0,0.00392156862745098,0.992156862745098,1,0,0.0156862745098039,0,0.996078431372549,1,0,0,0,1,0.996078431372549,1,1,0.996078431372549,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0,0.00784313725490196,0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0,0,0,0,0,0,0,0.0117647058823529,0,0.00784313725490196,0.00392156862745098,0,0.0196078431372549,0,0.0156862745098039,0.00392156862745098,0.00392156862745098,0,0.00392156862745098,0,0,0.00784313725490196,0,1,0.992156862745098,0.996078431372549,1,1,1,0,0.00784313725490196,0.988235294117647,0.992156862745098,1,0.00392156862745098,0.00392156862745098,0,0.00784313725490196,0.992156862745098,0.00784313725490196,0.988235294117647,1,0.996078431372549,0,0,0.00392156862745098,0,0,1,0,0.992156862745098,0.996078431372549,0,0.0196078431372549,0,0.00392156862745098,0.0117647058823529,1,1,0,1,0.992156862745098,0,0.00392156862745098,0,0.00784313725490196,0,1,0,0,0,0.996078431372549,1,1,1,0.992156862745098,1,1,0,0,0.00392156862745098,0,0.00392156862745098,0,0.0117647058823529,0.00392156862745098,0,0,0,0
0,0.00784313725490196,0,0.00784313725490196,0,0.00392156862745098,0.00392156862745098,0,0,0,0.0117647058823529,0,0,0,0,0,0,0.00392156862745098,0,0.00392156862745098,0,0.00392156862745098,1,0.992156862745098,1,1,1,1,1,0.988235294117647,1,0.996078431372549,0,0.00392156862745098,0.00784313725490196,0,0.00784313725490196,0,0,1,1,1,0.0156862745098039,0,0,0.00392156862745098,0,0.0117647058823529,0,1,0.996078431372549,0,0.00392156862745098,0,0.00784313725490196,0,0.00392156862745098,0,0,0.992156862745098,0.0117647058823529,0.988235294117647,0.00392156862745098,0,0,0,0.0117647058823529,0,1,0,0,1,0.996078431372549,1,0.00784313725490196,0,0,1,1,0.00392156862745098,0.0117647058823529,0,0.00784313725490196,0,1,0.992156862745098,1,0,0,0,0,0.00392156862745098,0,0.0117647058823529,0.00392156862745098,0.00784313725490196,0,0.00784313725490196,0,0
0,0.0117647058823529,0,0.00392156862745098,0,0.00784313725490196,0,0.00392156862745098,0,0.00392156862745098,0.00784313725490196,0,0,0,0.00392156862745098,0,0,0.00392156862745098,0,0.00392156862745098,0.00392156862745098,0,1,0.992156862745098,0.996078431372549,1,1,1,0.00392156862745098,0,0,1,1,0.00392156862745098,0.00392156862745098,0,0.00392156862745098,0.992156862745098,0,0,0.996078431372549,0.996078431372549,0,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,1,1,0.00392156862745098,1,1,0,0,0,0,0.00392156862745098,0,1,0.00784313725490196,0.988235294117647,0.0117647058823529,0,0.00784313725490196,0,0.00784313725490196,0.00784313725490196,0,1,0,0.00784313725490196,0.988235294117647,0.0117647058823529,0,0.0117647058823529,0,0,0.00392156862745098,1,0,0,0,1,1,0.996078431372549,1,1,1,1,0.00392156862745098,0.00392156862745098,0,0,0,0.00784313725490196,0,0,0,0.00392156862745098,0.00392156862745098
0.00392156862745098,0,0,0.00392156862745098,0,0.0117647058823529,0,0,0,0,0,0.0156862745098039,0.00784313725490196,0,0.0117647058823529,0,0,0,0,0.00392156862745098,0,0,0,1,0.996078431372549,1,1,0.992156862745098,1,0,0.00784313725490196,0,0.996078431372549,0,0.00784313725490196,0,0,0,1,0,1,1,0.0196078431372549,0,0.00784313725490196,0,0.00392156862745098,0,0.996078431372549,0.0156862745098039,1,1,0,0,0,0.00784313725490196,0,0.00392156862745098,1,0,0,0.992156862745098,0,0.00392156862745098,0,0,0,0.00784313725490196,1,0,0,1,1,0,0,0,0.00784313725490196,0.992156862745098,1,0.00392156862745098,0,0,0,1,0.988235294117647,1,1,1,0,0,0.00392156862745098,0,0.00784313725490196,0,0.0156862745098039,0.00392156862745098,0,0,0,0
0.00784313725490196,0.00392156862745098,0,0.0156862745098039,0,0,0,0,0,0,0,0.00392156862745098,0.0117647058823529,0,0,0.0117647058823529,0.00392156862745098,0.00392156862745098,0,0,0.00784313725490196,0,0,1,1,0.996078431372549,0.996078431372549,1,0,0,0.00784313725490196,0,0.996078431372549,0.988235294117647,0.00784313725490196,0,0.00784313725490196,0.992156862745098,0,0,0.992156862745098,1,1,0.0117647058823529,0,0.0117647058823529,0,1,0,0,1,0.988235294117647,0,0,0,0.00784313725490196,0,1,0,0,0.996078431372549,0.00392156862745098,0.00392156862745098,0,0.00392156862745098,0,0,1,0,0,0,1,0.988235294117647,0.0117647058823529,0,0.00784313725490196,0,1,0,0,0,0,1,1,0.996078431372549,1,1,1,0,0,0.00392156862745098,0,0,0,0.00784313725490196,0,0,0,0,0
0,0.00784313725490196,0,0,0.00392156862745098,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,0,0,0,0,0.0117647058823529,0.00392156862745098,0,0,0.00392156862745098,0,0,0.00392156862745098,0,1,1,1,1,1,1,0,0.00784313725490196,1,1,0.992156862745098,0,0.00392156862745098,0,0.00784313725490196,0.996078431372549,1,0,0.992156862745098,1,0.00392156862745098,0.00784313725490196,0,0.00392156862745098,0.00392156862745098,0,1,0.996078431372549,1,0,0,0.00392156862745098,0,0.00784313725490196,0,0.00784313725490196,0,0.992156862745098,1,0.992156862745098,0.0117647058823529,0,0.00784313725490196,0,0.00392156862745098,0,0,1,0.00392156862745098,1,0.992156862745098,1,0,0.00784313725490196,0,1,0.996078431372549,0,0.0117647058823529,0,0.00784313725490196,0,1,0.992156862745098,1,0,0,0,0,0.00392156862745098,0,0.0117647058823529,0.00392156862745098,0.00784313725490196,0,0.00784313725490196,0,0
0.00392156862745098,0,0.00392156862745098,0,0,0,0.00392156862745098,0.00392156862745098,0,0.00392156862745098,0,0.00784313725490196,0,1,0.992156862745098,1,0.992156862745098,1,0.00784313725490196,0,0,0,0.996078431372549,1,0,0,0,1,1,0,0,1,1,0.00784313725490196,0,0.00784313725490196,0.00392156862745098,0,1,0.00392156862745098,0.996078431372549,0.996078431372549,0,0,0,0.0196078431372549,0,0,0.992156862745098,0.00392156862745098,1,0.00392156862745098,0,0.00392156862745098,0,0,0,0.0156862745098039,1,0,1,1,0.00392156862745098,0,0.00784313725490196,0,0.00784313725490196,0,0.996078431372549,0.0117647058823529,0,0.996078431372549,1,1,0.00392156862745098,0,0.00392156862745098,1,0,0.00392156862745098,0.0117647058823529,0,0.00784313725490196,0,1,0.992156862745098,1,0,0,0,0,0.00392156862745098,0,0.0117647058823529,0.00392156862745098,0.00784313725490196,0,0.00784313725490196,0,0
0,0,0,0.00392156862745098,0,0,0,0.00392156862745098,0,0,0.00392156862745098,0,0.00784313725490196,0,0.00392156862745098,0.0117647058823529,0,0,0,0,0,0.00784313725490196,0,1,1,1,0.988235294117647,0.00784313725490196,0,0,0,0.00392156862745098,1,0,0,0,1,0,0,0,0.00392156862745098,1,0.996078431372549,0.00784313725490196,0,0.00392156862745098,1,0.992156862745098,0,0,0,1,0.996078431372549,0,0,0,0,1,0,0,1,0.988235294117647,1,0,0.0156862745098039,0.0117647058823529,0,1,0,0,0,1,0.00784313725490196,0,0,0,0.00784313725490196,0.996078431372549,0,0,0,1,0.988235294117647,1,1,0.996078431372549,1,1,0,0,0,0,0,0.00392156862745098,0,1,0,0,0,0
